RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,TotalTimesLate,IncomePerPerson
0.036842807,78,0,380,0.0,3,0,0,0,0.0,0,0.0
0.517089158,56,0,0.361330935,5559.0,15,1,1,0,1.0,1,2779.5
0.529024184,62,0,0.624964296,3500.0,10,0,2,0,1.0,0,1750.0
0.053939611,82,0,0.114285714,1644.0,7,0,0,0,0.0,0,1644.0
0.044948617,55,1,1.596.185.465,3040.0,35,0,1,0,0.0,1,3040.0
0.028158874,48,0,0.304705472,14344.0,6,0,4,0,0.0,0,14344.0
0.093437521,41,0,0.010892116,3855.0,3,0,0,0,0.0,0,3855.0
0.091288359,49,0,0.213543055,3750.0,14,0,1,0,2.0,0,1250.0
0.106301638,30,0,0.14464738,7500.0,9,0,0,0,0.0,0,7500.0
0.016037358,62,0,0.514830996,4348.0,9,0,3,0,1.0,0,2174.0
0.085002818,46,0,0.106394509,5535.0,9,0,0,0,0.0,0,5535.0
0.9999999,53,1,0.659736106,2500.0,4,0,2,2,2.0,3,833.3333333333334
0.022105035,58,0,0.195937712,7384.0,13,0,1,0,0.0,0,7384.0
0.287726441,66,0,0.231222634,11875.0,20,0,2,0,0.0,0,11875.0
0.101176877,50,0,0.447265625,8703.0,19,0,1,0,1.0,0,4351.5
0.851771858,44,3,0.236884335,8100.0,9,0,1,0,2.0,3,2700.0
0.178511907,44,0,0.477352265,10000.0,7,0,1,0,4.0,0,2000.0
0.015122904,64,0,0.092706203,4400.0,13,0,1,0,0.0,0,4400.0
0.014502428,57,0,0.241590214,3923.0,14,0,1,0,0.0,0,3923.0
0.146277356,27,0,0.302854779,2416.0,5,0,0,0,0.0,0,2416.0
0.083145843,46,0,0.33522292,6526.0,5,0,2,0,2.0,0,2175.3333333333335
0.03646391,40,0,0.011415715,12000.0,4,0,0,0,4.0,0,2400.0
0.08619075,31,1,0.016423028,5540.0,7,0,0,0,0.0,1,5540.0
0.147213124,63,0,0.282179455,4000.0,7,0,2,0,1.0,0,2000.0
0,73,0,0.026328945,6000.0,4,0,0,0,0.0,0,6000.0
0.734512434,68,0,1.225.472.047,2700.0,24,0,0,0,0.0,0,2700.0
0.970572269,46,0,1.089.810.492,3640.0,11,0,1,0,3.0,0,910.0
0.014060322,45,0,0.162399415,4100.0,8,0,0,0,4.0,0,820.0
0.9999999,57,0,0.025685227,5800.0,1,0,0,0,2.0,0,1933.3333333333333
0.076155233,64,1,0.411545127,7500.0,20,0,1,0,0.0,1,7500.0
0.053022405,60,0,0.599061416,4900.0,9,0,2,0,1.0,0,2450.0
0.540491902,54,0,0.303884609,6100.0,5,0,1,0,0.0,0,6100.0
0.481530686,51,0,0.431856814,10000.0,8,0,1,0,0.0,0,10000.0
0.11371836,66,0,0.392202599,3000.0,10,0,1,0,0.0,0,3000.0
0.062467461,55,0,0.199696855,7916.0,18,0,2,0,1.0,0,3958.0
0.577757437,28,0,0.390379278,1080.0,6,0,0,0,0.0,0,1080.0
0.593042222,64,0,0.360178446,8517.0,10,0,1,0,0.0,0,8517.0
0.590881824,29,0,0.21943128,2109.0,3,0,0,0,1.0,0,1054.5
0.002656575,78,0,0.000761832,10500.0,17,0,0,0,0.0,0,10500.0
0.013069682,71,0,0.451365756,3001.0,7,0,1,0,0.0,0,3001.0
0.198048603,43,0,0.424648649,4624.0,11,0,2,0,0.0,0,4624.0
0.114388561,71,0,0.008093311,4200.0,5,0,0,0,0.0,0,4200.0
0.016279211,39,0,1.159.946.684,3000.0,9,0,4,0,0.0,0,3000.0
0.031774247,88,0,0.100188527,3712.0,6,0,1,0,0.0,0,3712.0
0.795435831,69,0,0.164895441,2916.0,4,0,0,0,0.0,0,2916.0
0,30,0,0.607420076,7600.0,10,0,1,0,0.0,0,7600.0
0.9999999,31,0,0,5000.0,0,1,0,0,0.0,1,5000.0
0.051359684,56,0,0.044927795,5608.0,3,0,1,0,0.0,0,5608.0
0.843559083,59,0,0.366819747,6967.0,10,0,1,1,1.0,1,3483.5
0,47,0,0.315679443,7174.0,4,0,1,0,1.0,0,3587.0
0.032864476,57,0,0.002944889,4753.0,1,0,0,0,0.0,0,4753.0
0.711364788,40,0,0.308548912,5836.0,6,0,0,0,2.0,0,1945.3333333333333
0.648855108,55,0,0.801049738,4000.0,8,0,2,0,1.0,0,2000.0
0.958380202,65,4,0.44654498,1533.0,3,0,0,0,0.0,4,1533.0
0.9999999,40,1,0.177264547,3333.0,2,3,0,0,0.0,4,3333.0
0.600404,67,0,0.502629237,12360.0,15,0,3,0,3.0,0,3090.0
0.18087884,60,0,0.343581378,7968.0,6,0,2,0,0.0,0,7968.0
0.01717123,71,0,0.203125,1791.0,5,0,1,0,0.0,0,1791.0
0.246594198,45,0,0.245255651,8272.0,8,0,2,0,1.0,0,4136.0
0.063203586,80,0,0.042916474,2166.0,10,0,0,0,0.0,0,2166.0
0.030153714,58,0,0.003999,4000.0,6,0,0,0,0.0,0,4000.0
0.118193359,63,0,0.281262149,15433.0,9,0,2,0,1.0,0,7716.5
0.385905592,41,0,0.070308106,16000.0,11,0,0,0,0.0,0,16000.0
0.003873603,71,0,0.216701903,945.0,6,0,1,0,0.0,0,945.0
0.026342927,41,0,0.004080966,6125.0,6,0,0,0,2.0,0,2041.6666666666667
0,52,0,0,3333.0,8,0,0,0,0.0,0,3333.0
0.125929655,75,1,3.196.347.032,437.0,23,0,1,0,0.0,1,437.0
0.9999999,24,0,0.086913087,1000.0,2,0,0,0,0.0,0,1000.0
0.9999999,23,0,0.203197868,1500.0,2,0,0,0,0.0,0,1500.0
0.467647131,27,0,0.29149078,4500.0,8,0,0,0,1.0,0,2250.0
0,40,0,0.068977008,3000.0,5,0,0,0,1.0,0,1500.0
1.005.853.183,64,0,0.652478952,2137.0,8,0,1,0,0.0,0,2137.0
0.849798479,39,0,0.676136977,9256.0,12,0,2,0,0.0,0,9256.0
0.053469463,69,0,91.05.00,1.0,11,0,0,0,0.0,0,1.0
0.9999999,26,0,0.172373081,4234.0,2,0,0,0,1.0,0,2117.0
1.001.998.002,23,0,0.134276562,3745.0,7,0,0,1,0.0,1,3745.0
0,62,0,266,0.0,7,0,0,0,0.0,0,0.0
0.003585871,72,0,0.010643524,6106.0,10,0,0,0,0.0,0,6106.0
140.083.015,39,0,0.690163557,4340.0,16,0,1,0,1.0,0,2170.0
0.419677405,67,1,0.241349646,10461.0,11,0,1,0,1.0,1,5230.5
0.636988088,32,0,1.094.830.049,3500.0,10,0,2,0,3.0,0,875.0
0.540432446,44,0,2.326.673.327,1000.0,6,0,1,0,0.0,0,1000.0
0.058241129,61,0,0.064971487,10696.0,13,0,1,0,1.0,0,5348.0
0.074343056,32,0,0.475047985,4167.0,10,0,1,0,0.0,0,4167.0
0.450117804,57,1,1,2163.0,11,0,0,0,0.0,1,2163.0
0.15098982,57,1,0.486623706,10241.0,9,0,2,0,0.0,1,10241.0
0.297076954,56,0,0.349332126,8833.0,9,0,1,0,2.0,0,2944.3333333333335
0.060043045,41,0,0.566234701,8333.0,10,0,1,0,1.0,0,4166.5
0.125894209,82,2,0.163907285,2415.0,9,0,0,0,0.0,2,2415.0
0.215367578,53,0,0.079168333,2500.0,5,0,0,0,0.0,0,2500.0
0.304242395,69,1,0.163043478,5703.0,6,0,0,0,1.0,1,2851.5
0.029004702,53,0,0.769333333,2999.0,6,0,1,0,1.0,0,1499.5
0.946172503,38,0,0.163791788,6550.0,5,0,0,0,1.0,0,3275.0
0.910239603,43,0,0.242880648,7900.0,10,0,0,0,3.0,0,1975.0
0.532991247,34,0,0.530993561,7920.0,9,0,2,0,2.0,0,2640.0
0,49,1,0.289119569,2600.0,8,0,0,0,1.0,1,1300.0
0.957921507,33,1,0.208359788,9449.0,13,0,0,0,0.0,1,9449.0
0.394302849,31,0,0.012914093,1780.0,1,0,0,0,0.0,0,1780.0
0.555938038,53,0,0.451816271,3330.0,10,0,0,0,0.0,0,3330.0
0.950427674,65,0,1.403.465.347,2423.0,15,1,1,0,0.0,1,2423.0
0.135728543,25,0,0.099363829,3300.0,5,0,0,0,0.0,0,3300.0
0.750015822,43,0,0.284294716,4125.0,5,0,0,0,0.0,0,4125.0
0.506211342,75,0,0.245929329,14800.0,13,0,1,0,1.0,0,7400.0
0.996916515,34,0,0.207035067,18421.0,15,0,1,0,4.0,0,3684.2
0.322584825,46,1,0.323842065,2633.0,12,0,1,0,2.0,1,877.6666666666666
0.196910535,62,0,0.027524576,11189.0,10,0,0,0,0.0,0,11189.0
0.006987305,85,1,0.002702411,9250.0,14,0,0,0,0.0,1,9250.0
0.065868263,24,0,0.031914894,1879.0,2,0,0,0,0.0,0,1879.0
0.032088594,71,0,0.456394347,2900.0,9,0,0,0,0.0,0,2900.0
0.197995112,51,0,0.782789507,3125.0,10,0,1,0,1.0,0,1562.5
0.102832075,50,0,0.612638343,2800.0,4,0,1,0,2.0,0,933.3333333333334
0.528468025,61,0,0.84932159,4200.0,8,0,2,0,0.0,0,4200.0
0,50,0,0.187656931,7566.0,5,0,1,0,1.0,0,3783.0
0.31181921,52,0,0.295672431,11160.0,6,0,2,0,2.0,0,3720.0
0.016386564,42,0,0.428729807,6313.0,12,0,3,0,2.0,0,2104.3333333333335
0,44,1,0.549278602,4920.0,7,0,1,0,1.0,1,2460.0
0.224235284,55,0,0.349693252,7986.0,10,0,1,0,0.0,0,7986.0
0.447131829,47,0,0.558402861,5033.0,9,0,1,0,2.0,0,1677.6666666666667
0.336596148,36,0,0.08037225,1181.0,2,0,0,0,0.0,0,1181.0
0.918910256,49,0,0.364815565,7400.0,8,0,0,0,2.0,0,2466.6666666666665
0.701732213,31,0,0.735243222,5200.0,8,0,2,0,3.0,0,1300.0
0.080566208,70,0,0.270115326,15000.0,16,0,2,0,1.0,0,7500.0
0.042165085,64,2,0.194083996,7166.0,13,1,0,0,2.0,3,2388.6666666666665
0.921635945,36,1,0.091901849,15200.0,3,0,0,0,2.0,1,5066.666666666667
0.013787367,64,0,0.314365999,2846.0,18,0,2,0,0.0,0,2846.0
0.588774721,67,0,0.347972551,8014.0,7,1,1,0,1.0,1,4007.0
0.155153794,47,1,1.104.900.836,6100.0,12,0,4,0,3.0,1,1525.0
0.275302678,53,0,0.240469941,8000.0,8,0,1,0,1.0,0,4000.0
0.9999999,43,0,0.936094252,2800.0,6,0,2,0,0.0,0,2800.0
0.970461426,44,3,0.413594379,12666.0,8,0,2,1,4.0,4,2533.2
0.222994938,48,1,0.475520618,7250.0,9,0,1,0,2.0,1,2416.6666666666665
0.9999999,45,0,0.0781893,1700.0,0,1,0,0,0.0,1,1700.0
0.226036203,59,1,0.213894444,11500.0,15,0,1,0,2.0,1,3833.3333333333335
0.197087809,44,2,0.552367288,7666.0,20,0,2,0,1.0,2,3833.0
0.018216258,60,0,2339,0.0,7,0,1,0,0.0,0,0.0
0.609107903,74,0,0.272752446,10833.0,16,0,1,0,0.0,0,10833.0
0.661916904,37,0,2955,0.0,4,0,1,0,1.0,0,0.0
0.409324787,46,0,"2,260416667",5999.0,13,1,1,0,2.0,1,1999.6666666666667
0.13588068,42,0,0.296808656,7300.0,11,0,1,0,2.0,0,2433.3333333333335
0.257605418,55,1,0.438058748,7829.0,9,0,2,0,0.0,1,7829.0
0.147009496,60,1,0.207172377,7500.0,11,0,1,0,1.0,1,3750.0
0.184569575,32,0,0.431389975,5625.0,7,0,1,0,0.0,0,5625.0
0.08017086,64,0,0.194738136,8133.0,12,0,1,0,3.0,0,2033.25
0.85775508,56,0,0.775677984,9365.0,6,0,4,0,0.0,0,9365.0
0.419874942,51,0,0.570134333,3200.0,7,0,1,0,1.0,0,1600.0
0.518856861,52,0,0.782584985,5500.0,16,0,1,0,0.0,0,5500.0
0.569552836,49,1,0.463263142,6600.0,20,0,1,0,1.0,1,3300.0
0.07854039,37,0,0.127343245,4640.0,4,0,0,0,2.0,0,1546.6666666666667
0.097415257,27,0,0.026506696,3583.0,5,0,0,0,0.0,0,3583.0
0.295937295,58,0,0.619563406,6000.0,14,0,2,2,0.0,2,6000.0
104.361.477,70,1,0.459259259,5804.0,7,1,1,0,0.0,2,5804.0
1.011.653.259,53,0,0.12471882,4000.0,4,0,0,0,1.0,0,2000.0
0.9999999,46,1,0.006584855,3340.0,2,0,0,0,2.0,1,1113.3333333333333
0.632151983,61,0,0.405606919,6705.0,10,0,2,0,0.0,0,6705.0
0.059618536,58,0,0.317207885,10500.0,7,0,1,0,0.0,0,10500.0
0.042481231,62,0,0.777222421,2800.0,12,0,1,0,1.0,0,1400.0
0.037980568,40,0,0.174531459,5975.0,8,0,0,0,0.0,0,5975.0
0.461897356,38,0,0.32975,7999.0,4,0,1,0,2.0,0,2666.3333333333335
0.834212372,65,0,0.485994802,6925.0,13,0,2,0,1.0,0,3462.5
0.569659043,58,0,0.265244918,3000.0,6,0,0,0,2.0,0,1000.0
0.056826948,71,0,0.258409549,6450.0,6,0,1,0,0.0,0,6450.0
0.003507145,62,0,0.002687515,4092.0,9,0,0,0,0.0,0,4092.0
0.763870535,56,0,0.940846001,3025.0,9,0,2,0,0.0,0,3025.0
0.110646157,36,0,0.526336025,2600.0,9,0,1,0,0.0,0,2600.0
0.971670039,36,2,0.179992631,5427.0,6,0,1,0,2.0,2,1809.0
0.015197729,65,0,0.136655279,12000.0,8,0,1,0,0.0,0,12000.0
0.065061425,57,0,0.248983051,5899.0,10,0,1,0,2.0,0,1966.3333333333333
0.394487238,67,0,0.429990628,5334.0,12,0,2,0,1.0,0,2667.0
0.01939903,52,0,0.000996467,11038.0,5,0,0,0,1.0,0,5519.0
0.848237071,43,0,0.478895589,3150.0,12,0,0,0,2.0,0,1050.0
0.353541693,46,0,0.295388147,9583.0,7,0,2,0,2.0,0,3194.3333333333335
0.201208056,65,0,0.112735908,8000.0,19,0,0,0,1.0,0,4000.0
0.459964958,64,1,0.59790035,6000.0,12,0,1,0,0.0,1,6000.0
0.228439033,56,0,0.241820152,4614.0,8,0,0,0,0.0,0,4614.0
0,31,0,0.023421879,3500.0,6,0,0,0,0.0,0,3500.0
0.021498925,43,0,939,0.0,7,0,1,0,0.0,0,0.0
0.018935363,63,0,0.184902269,4450.0,8,0,1,0,0.0,0,4450.0
0.224197311,42,0,0.411517696,5000.0,6,0,2,0,1.0,0,2500.0
0.0202891,59,0,0.482551745,10000.0,17,0,5,0,0.0,0,10000.0
0.31761365,49,0,0.542062911,4100.0,7,0,2,0,0.0,0,4100.0
0.104764842,36,0,0.63393022,5416.0,12,0,1,0,0.0,0,5416.0
0.003036376,67,0,0.142094334,3370.0,9,0,0,0,0.0,0,3370.0
0.004887659,79,0,0.001359804,3676.0,7,0,0,0,1.0,0,1838.0
0.17924429,36,0,0.373500102,9833.0,8,0,2,0,2.0,0,3277.6666666666665
0.174614635,52,0,0.471241591,19176.0,13,0,6,0,0.0,0,19176.0
0.132925407,35,0,0.015730972,10615.0,4,0,0,0,2.0,0,3538.3333333333335
0.595889939,50,1,0.711229947,4300.0,12,0,1,0,0.0,1,4300.0
0.162251967,65,0,0.239595051,8000.0,9,0,1,0,0.0,0,8000.0
0.312303626,68,0,0.303077726,5750.0,7,0,2,0,0.0,0,5750.0
0,31,0,0.154734411,2164.0,9,0,0,0,0.0,0,2164.0
0,68,0,0.216445889,4000.0,6,0,1,0,0.0,0,4000.0
0.96823654,66,1,0.712076145,5042.0,11,0,2,0,0.0,1,5042.0
0.186900259,50,0,0.32629108,2555.0,9,0,0,0,2.0,0,851.6666666666666
0.112384863,81,1,3.747.048.186,9400.0,24,0,2,0,1.0,1,4700.0
0.023052806,46,0,0.479742173,4343.0,7,0,2,0,0.0,0,4343.0
0.641196013,35,0,0.149570086,5000.0,4,0,0,0,0.0,0,5000.0
0.9999999,39,0,0.074168333,5500.0,3,1,0,0,1.0,1,2750.0
0.130813701,70,0,0.133987239,10500.0,11,0,1,0,0.0,0,10500.0
0.022517968,54,0,0.218942485,12500.0,8,0,2,0,4.0,0,2500.0
0.013132458,55,0,0.003568879,1400.0,3,0,0,0,0.0,0,1400.0
0.55028434,45,0,0.112544955,4726.0,6,0,0,0,3.0,0,1181.5
0.470915576,65,0,0.406090707,7650.0,14,0,1,0,1.0,0,3825.0
0.029731495,65,1,0.26021884,7950.0,8,0,2,0,2.0,1,2650.0
0.002409856,72,0,0.458392649,7726.0,7,0,2,0,0.0,0,7726.0
0.2218542,47,0,0.283671633,10000.0,8,0,1,0,0.0,0,10000.0
0.03199383,56,0,0.193150394,4700.0,7,0,0,0,1.0,0,2350.0
0.898550725,46,2,0.738793937,3100.0,17,0,1,0,2.0,2,1033.3333333333333
0.072439519,64,0,0.163700655,17250.0,9,0,1,0,1.0,0,8625.0
0.272826837,63,0,0.322559147,3000.0,12,0,1,0,0.0,0,3000.0
0.138739907,61,0,0.601349831,4444.0,10,0,2,0,0.0,0,4444.0
0.014074992,66,0,0.000947269,3166.0,5,0,0,0,1.0,0,1583.0
0.9999999,41,0,0.375884343,3250.0,3,0,1,0,1.0,0,1625.0
0,33,1,1.253.790.006,1780.0,10,0,2,0,0.0,1,1780.0
0.805438912,30,0,0.430236931,2658.0,4,0,0,0,2.0,0,886.0
0.019394596,83,0,0.00359964,10000.0,6,0,0,0,0.0,0,10000.0
0.032126354,48,0,0.020280811,1922.0,2,0,0,0,0.0,0,1922.0
0.36214921,42,0,0.327556656,5250.0,11,0,1,0,0.0,0,5250.0
0.027751657,72,0,0.010964205,3100.0,8,0,0,0,1.0,0,1550.0
0.089391061,65,0,0.226485652,12300.0,6,0,1,0,0.0,0,12300.0
0.219173463,68,0,0.044424297,18750.0,9,0,0,0,2.0,0,6250.0
0.02142792,76,0,0.391288697,8333.0,4,0,2,0,1.0,0,4166.5
0.219618342,42,0,1.240.255.138,1410.0,14,0,2,0,0.0,0,1410.0
0,57,1,0.202398801,2000.0,6,0,0,0,0.0,1,2000.0
0.520748518,38,0,0.070322158,13750.0,5,0,0,0,0.0,0,13750.0
0.645303352,50,0,0.229661627,4166.0,9,0,0,0,0.0,0,4166.0
0.357431866,65,0,0.769152196,4894.0,16,0,1,0,0.0,0,4894.0
0.060414693,33,0,0.143792038,5500.0,10,0,0,0,0.0,0,5500.0
0.202524556,54,0,0.109615576,20133.0,8,0,1,0,0.0,0,20133.0
0.189487537,63,0,0.700480393,8950.0,15,0,2,0,0.0,0,8950.0
0.116776759,46,0,0.213675214,12518.0,15,0,1,0,4.0,0,2503.6
0.007007127,35,0,0.518029997,9400.0,20,0,2,0,3.0,0,2350.0
0.176383726,68,2,0.034321893,3000.0,3,0,0,0,1.0,2,1500.0
0.128196431,64,0,0.408899364,14000.0,34,0,4,0,0.0,0,14000.0
0.010196166,72,0,0.009788443,3166.0,14,0,0,0,0.0,0,3166.0
0.513481237,53,1,0.482903419,5000.0,8,0,1,0,0.0,1,5000.0
0.439973172,74,2,1.166.666.667,179.0,12,2,1,0,1.0,4,89.5
0.817530412,48,0,0.055576703,2626.0,2,0,0,0,0.0,0,2626.0
0.107368097,26,0,752,0.0,8,0,0,0,0.0,0,0.0
0.456176416,25,0,0.155098543,3500.0,10,0,0,0,1.0,0,1750.0
0.040129562,41,0,0.607064662,6850.0,8,0,2,0,0.0,0,6850.0
0.123587641,49,0,0.338559814,8609.0,5,0,2,0,3.0,0,2152.25
0.053252806,57,0,0.421182701,5664.0,16,0,2,0,2.0,0,1888.0
0.458182998,45,0,0.484093801,5500.0,15,0,1,0,1.0,0,2750.0
0.188900796,77,0,0.978505374,4000.0,18,0,2,0,0.0,0,4000.0
0.984040981,69,1,0.376235348,4350.0,7,1,0,0,1.0,2,2175.0
0.9999999,54,0,0.327922444,8870.0,7,0,2,0,2.0,0,2956.6666666666665
0.074324541,66,0,0.348330334,5000.0,7,0,1,0,0.0,0,5000.0
0.033332099,41,0,0.223296117,6000.0,6,0,2,0,1.0,0,3000.0
0.946736957,30,0,0.274005951,3696.0,12,0,0,0,0.0,0,3696.0
0.870394585,46,1,1.004.054.376,4192.0,9,0,4,0,3.0,1,1048.0
0.004753709,54,2,0.690268838,2640.0,10,0,1,0,2.0,2,880.0
0.100210661,48,0,0.263827235,8334.0,5,0,1,0,2.0,0,2778.0
0.139843418,50,0,0.415158484,10000.0,17,0,2,0,0.0,0,10000.0
0.53041546,31,0,0.77486911,4583.0,12,0,1,0,2.0,0,1527.6666666666667
0.275955518,32,0,0.016600641,5300.0,6,0,0,0,1.0,0,2650.0
0.9999999,32,0,0.149651621,3300.0,2,1,0,1,0.0,2,3300.0
0.044665099,57,1,0.569145667,3253.0,8,0,1,1,1.0,2,1626.5
0.9999999,41,0,0.492424242,5147.0,5,1,1,0,1.0,1,2573.5
0.307112859,43,1,1.334.665.335,1000.0,8,0,1,0,0.0,1,1000.0
1.009.477.437,59,0,0.085659528,12000.0,5,0,0,0,1.0,0,6000.0
0.048459763,37,0,0.174757282,4737.0,7,0,2,0,0.0,0,4737.0
0.41260347,39,0,0.472305539,5000.0,12,0,1,0,1.0,0,2500.0
0.164030219,63,0,0.26479411,3666.0,13,0,0,0,0.0,0,3666.0
0.308125795,30,0,0.38209266,1920.0,3,0,0,0,0.0,0,1920.0
0.404801425,56,0,0.038004622,110775.0,12,0,2,0,0.0,0,110775.0
0.195182925,65,0,0.089253838,2800.0,7,0,0,0,0.0,0,2800.0
0.228627764,51,1,0.195732768,13216.0,6,0,1,0,1.0,1,6608.0
0,77,0,0.040838259,3721.0,5,0,0,0,0.0,0,3721.0
0.004749921,58,1,0.28563067,3416.0,14,0,1,0,0.0,1,3416.0
0.675062488,51,1,0.183678382,4153.0,3,0,1,0,1.0,1,2076.5
0.020267798,29,0,0.012516185,2316.0,6,0,0,0,0.0,0,2316.0
0.65813111,46,0,0.102979404,5000.0,11,0,0,0,2.0,0,1666.6666666666667
0.019878231,74,0,0.00839832,1666.0,3,0,0,0,1.0,0,833.0
0.307876918,32,0,0.255795364,1250.0,7,0,0,0,0.0,0,1250.0
0.435946614,52,0,0.406299475,12000.0,14,0,2,0,0.0,0,12000.0
0.172515282,64,0,0.461830611,2632.0,5,0,1,0,0.0,0,2632.0
0,32,0,0.64113239,1200.0,4,0,0,0,2.0,0,400.0
0.268512043,48,0,0.384001419,11275.0,9,0,1,0,5.0,0,1879.1666666666667
0.572114263,49,0,0.306469353,10000.0,7,0,1,0,0.0,0,10000.0
0.999750062,46,3,0.855609034,2700.0,18,0,1,1,1.0,4,1350.0
0.30304367,27,0,0.279920023,3500.0,4,0,0,0,0.0,0,3500.0
0.66945704,38,1,0.327002477,3632.0,5,0,0,0,2.0,1,1210.6666666666667
0.9999999,50,2,0.140821459,2385.0,1,0,0,0,2.0,2,795.0
0.9999999,25,0,0.08119925,1600.0,1,0,0,0,1.0,0,800.0
0.125429152,55,0,0.476704659,5000.0,3,0,2,0,0.0,0,5000.0
0.261117989,38,0,0.491727588,2598.0,8,0,1,0,1.0,0,1299.0
0.014299796,73,0,0.177414502,9970.0,6,0,1,0,0.0,0,9970.0
0.060743256,54,0,0.502797762,1250.0,10,0,1,0,0.0,0,1250.0
0.302323256,64,0,0.020498907,13268.0,3,0,0,0,0.0,0,13268.0
